S.No,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,age_bin
1,2014-08-27 11:29:00,37.0,Female,United States,IL,,No,Yes,Often,6-25,No,Yes,Yes,,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,,31-40
2,2014-08-27 11:29:00,44.0,Male,United States,IN,,No,No,Rarely,1000+,No,No,,No,,,,,Maybe,No,No,No,No,No,,No,,41-50
3,2014-08-27 11:29:00,32.0,Male,Canada,,,No,No,Rarely,6-25,No,Yes,No,No,No,No,,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,,31-40
4,2014-08-27 11:29:00,31.0,Male,United Kingdom,,,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,,31-40
5,2014-08-27 11:30:00,31.0,Male,United States,TX,,No,No,Never,100-500,Yes,Yes,Yes,No,,,,,No,No,Some of them,Yes,Yes,Yes,,No,,31-40
6,2014-08-27 11:31:00,33.0,Male,United States,TN,,Yes,No,Sometimes,6-25,No,Yes,Yes,,No,,,,No,No,Yes,Yes,No,Maybe,,No,,31-40
7,2014-08-27 11:31:00,35.0,Female,United States,MI,,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,,No,,31-40
8,2014-08-27 11:32:00,39.0,Male,Canada,,,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,,No,No,No,No,No,No,No,No,,31-40
9,2014-08-27 11:32:00,42.0,Female,United States,IL,,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,,41-50
10,2014-08-27 11:32:00,23.0,Male,Canada,,,No,No,Never,26-100,No,Yes,,No,,,,,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,21-30
11,2014-08-27 11:32:00,31.0,Male,United States,OH,,No,Yes,Sometimes,6-25,Yes,Yes,,No,No,No,,,No,No,Some of them,Yes,No,No,,No,,31-40
12,2014-08-27 11:32:00,29.0,Male,Bulgaria,,,No,No,Never,100-500,Yes,Yes,,,No,No,,,No,No,Yes,Yes,Yes,Yes,,No,,21-30
13,2014-08-27 11:33:00,42.0,Female,United States,CA,,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,,41-50
14,2014-08-27 11:33:00,36.0,Male,United States,CT,,Yes,No,Never,500-1000,No,Yes,,,No,,,,No,No,Yes,Yes,No,No,,No,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.,31-40
15,2014-08-27 11:33:00,27.0,Male,Canada,,,No,No,Never,6-25,No,Yes,,,,,,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,,21-30
16,2014-08-27 11:34:00,29.0,Female,United States,IL,,Yes,Yes,Rarely,26-100,No,Yes,Yes,,No,No,,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience.,21-30
17,2014-08-27 11:34:00,23.0,Male,United Kingdom,,,No,Yes,Sometimes,26-100,Yes,Yes,,No,,,,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.,21-30
18,2014-08-27 11:34:00,32.0,Male,United States,TN,,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,,,,Maybe,No,Some of them,Yes,No,No,No,No,,31-40
19,2014-08-27 11:34:00,46.0,Male,United States,MD,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,,Yes,,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,,41-50
20,2014-08-27 11:35:00,36.0,Male,France,,Yes,Yes,No,,6-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,,No,,31-40
21,2014-08-27 11:35:00,29.0,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,,21-30
22,2014-08-27 11:35:00,31.0,Male,United States,NC,Yes,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,,31-40
23,2014-08-27 11:35:00,46.0,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,,,Maybe,No,Some of them,Yes,No,Maybe,No,No,,41-50
24,2014-08-27 11:36:00,41.0,Male,United States,IA,No,No,Yes,Never,1000+,No,No,,No,No,,,,Maybe,No,No,No,No,Yes,,No,,41-50
25,2014-08-27 11:36:00,33.0,Male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,,,Yes,Yes,,No,No,Yes,Yes,No,Yes,,No,Relatively new job. Ask again later,31-40
26,2014-08-27 11:37:00,35.0,Male,United States,TN,No,Yes,Yes,Sometimes,1000+,No,No,Yes,Yes,No,,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better,31-40
27,2014-08-27 11:37:00,33.0,Male,United States,TN,No,No,No,,1-5,No,Yes,,,No,,,,Maybe,Maybe,Some of them,No,No,No,,No,,31-40
28,2014-08-27 11:37:00,35.0,Female,United States,CA,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,,,,,No,No,Yes,Yes,Maybe,Maybe,Yes,No,,31-40
29,2014-08-27 11:38:00,34.0,Male,United States,OH,No,No,Yes,Sometimes,26-100,Yes,Yes,,,No,,,Somewhat difficult,No,No,Some of them,No,No,No,No,No,,31-40
30,2014-08-27 11:38:00,37.0,Male,United Kingdom,,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No,,31-40
31,2014-08-27 11:39:00,32.0,Male,United Kingdom,,No,No,No,Never,6-25,Yes,Yes,No,No,No,No,,,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,,31-40
32,2014-08-27 11:38:00,31.0,Male,United States,PA,Yes,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,,31-40
33,2014-08-27 11:39:00,30.0,Male,United Kingdom,,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,,No,,21-30
